"filename", "language", "TypeScript", "JSON", "JSON with Comments", "JavaScript", "Pug", "CSS", "comment", "blank", "total"
"d:\Masters\Multi-Access Edge Computing\Thesis\Enviornment\Server\routes\verify.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 0, 6, 36
"d:\Masters\Multi-Access Edge Computing\Thesis\Enviornment\Server\schema\Cluster.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 0, 3, 38
"d:\Masters\Multi-Access Edge Computing\Thesis\Enviornment\Server\schema\Community.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 2, 25
"d:\Masters\Multi-Access Edge Computing\Thesis\Enviornment\Server\schema\Device.ts", "TypeScript", 39, 0, 0, 0, 0, 0, 0, 3, 42
"d:\Masters\Multi-Access Edge Computing\Thesis\Enviornment\Server\schema\Invitation.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 2, 20
"d:\Masters\Multi-Access Edge Computing\Thesis\Enviornment\Server\schema\Service.ts", "TypeScript", 39, 0, 0, 0, 0, 0, 0, 4, 43
"d:\Masters\Multi-Access Edge Computing\Thesis\Enviornment\Server\schema\User.ts", "TypeScript", 42, 0, 0, 0, 0, 0, 0, 3, 45
"d:\Masters\Multi-Access Edge Computing\Thesis\Enviornment\Server\services\clusterManager.ts", "TypeScript", 84, 0, 0, 0, 0, 0, 1, 9, 94
"d:\Masters\Multi-Access Edge Computing\Thesis\Enviornment\Server\services\dataManager.ts", "TypeScript", 69, 0, 0, 0, 0, 0, 5, 12, 86
"d:\Masters\Multi-Access Edge Computing\Thesis\Enviornment\Server\services\mapper.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 2, 22
"d:\Masters\Multi-Access Edge Computing\Thesis\Enviornment\Server\services\scheduler.ts", "TypeScript", 65, 0, 0, 0, 0, 0, 0, 9, 74
"d:\Masters\Multi-Access Edge Computing\Thesis\Enviornment\Server\services\validation.ts", "TypeScript", 25, 0, 0, 0, 0, 0, 0, 9, 34
"d:\Masters\Multi-Access Edge Computing\Thesis\Enviornment\Server\tsconfig.json", "JSON with Comments", 0, 0, 12, 0, 0, 0, 81, 9, 102
"d:\Masters\Multi-Access Edge Computing\Thesis\Enviornment\Server\tslint.json", "JSON", 0, 12, 0, 0, 0, 0, 0, 0, 12
"d:\Masters\Multi-Access Edge Computing\Thesis\Enviornment\Server\utilities\Utils.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 2, 7
"d:\Masters\Multi-Access Edge Computing\Thesis\Enviornment\Server\utilities\dateUtils.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 2, 8
"Total", "-", 1005, 8599, 12, 1267, 16, 7, 159, 194, 11259
